row_id,x,y,accuracy,time,place_id,frequency,time in mins,time in hrs
0,0.7941,9.0809,54,470702,8523065625,0.00000212448640541149,7845.03333333333,326.876388888889
1,5.9567,4.7968,13,186555,1757726713,0.00000536034949478706,3109.25,129.552083333333
2,8.3078,7.0407,74,322648,1137537235,0.00000309935285512385,5377.46666666667,224.061111111111
3,7.3665,2.5165,65,704587,6567393236,0.00000141927114749492,11743.1166666667,489.296527777778
4,4.0961,1.1307,31,472130,7440663949,0.00000211806070361977,7868.83333333333,327.868055555556
5,3.8099,1.9586,75,178065,6289802927,0.00000561592676831494,2967.75,123.65625
6,6.3336,4.372,13,666829,9931249544,0.00000149963483891672,11113.8166666667,463.075694444444
7,5.7409,6.7697,85,369002,5662813655,0.00000271001241185685,6150.03333333333,256.251388888889
8,4.3114,6.941,3,166384,8471780938,0.00000601019328781614,2773.06666666667,115.544444444444
9,6.3414,0.0758,65,400060,1253803156,0.00000249962505624156,6667.66666666667,277.819444444444
10,2.0173,4.8627,6,21353,8684462954,0.0000468318269095677,355.883333333333,14.8284722222222
11,8.7101,2.9442,73,153493,2159916487,0.00000651495507938473,2558.21666666667,106.592361111111
12,0.8829,1.3445,64,574488,7652380351,0.00000174068039715364,9574.8,398.95
13,2.4336,8.06,62,238054,8234363596,0.00000420072756601443,3967.56666666667,165.315277777778
14,6.155,1.9774,8,325411,2272949794,0.0000030730368672233,5423.51666666667,225.979861111111
15,7.6219,9.6208,65,321519,4740742194,0.0000031102360980222,5358.65,223.277083333333
16,3.2494,3.2096,75,777982,2123587484,0.00000128537678249625,12966.3666666667,540.265277777778
17,0.7084,8.9051,69,320633,8016758016,0.00000311883056329199,5343.88333333333,222.661805555556
18,2.7256,1.0135,54,6249,8936085695,0.000160025604096655,104.15,4.33958333333333
19,4.2683,1.8238,70,411437,2778700985,0.00000243050576394442,6857.28333333333,285.720138888889
20,5.3298,6.3457,52,736113,4845908305,0.00000135848708010862,12268.55,511.189583333333
21,4.283,3.1855,62,500479,3938338894,0.00000199808583377125,8341.31666666667,347.554861111111
22,9.6349,1.2462,172,181701,9784464752,0.00000550354703606474,3028.35,126.18125
23,7.4492,8.995,17,726403,1874355796,0.00000137664629689029,12106.7166666667,504.446527777778
24,1.2837,7.5588,4,245292,9885174082,0.00000407677380428224,4088.2,170.341666666667
25,7.6423,6.7629,70,323935,4294512385,0.00000308703906647939,5398.91666666667,224.954861111111
26,4.6375,3.4561,67,297623,7766380992,0.00000335995537979256,4960.38333333333,206.682638888889
27,4.3794,7.2107,165,727097,2110807282,0.00000137533231467053,12118.2833333333,504.928472222222
28,7.2382,4.3998,75,11929,9713229580,0.0000838293234973594,198.816666666667,8.28402777777778
29,4.5083,1.8794,2,310734,6163271747,0.0000032181866162055,5178.9,215.7875
30,5.339,2.5803,149,76243,5332571508,0.0000131159581863253,1270.71666666667,52.9465277777778
31,1.5702,2.807,47,358928,6179383704,0.00000278607408728213,5982.13333333333,249.255555555556
32,5.3103,8.491,73,600746,7651017815,0.00000166459701770798,10012.4333333333,417.184722222222
33,7.3227,5.1229,5,310262,3323368000,0.00000322308242710999,5171.03333333333,215.459722222222
34,3.1667,6.2971,32,729423,6020820466,0.00000137094662493505,12157.05,506.54375
35,8.5522,0.5541,9,725239,7971992619,0.0000013788557978818,12087.3166666667,503.638194444444
36,9.0104,7.1375,57,160892,2418763324,0.00000621534942694478,2681.53333333333,111.730555555556
37,9.623,7.2774,24,499008,3805035152,0.00000200397588816211,8316.8,346.533333333333
38,4.8259,7.8946,124,393598,8928471601,0.00000254066331637864,6559.96666666667,273.331944444444
39,1.2191,1.3462,743,477469,6171384989,0.00000209437680770898,7957.81666666667,331.575694444444
40,5.5427,7.8075,9,594450,4952233441,0.00000168222726890403,9907.5,412.8125
41,3.6597,6.3443,123,379296,4725670121,0.00000263646334261368,6321.6,263.4
42,6.6331,5.2246,69,606598,5124302176,0.00000164853824114158,10109.9666666667,421.248611111111
43,4.1841,9.373,71,581411,3524809832,0.00000171995369884643,9690.18333333333,403.757638888889
44,2.0768,4.4422,53,766037,1367769233,0.00000130541997318667,12767.2833333333,531.970138888889
45,3.1491,1.6401,157,115976,1464085506,0.00000862247361523074,1932.93333333333,80.5388888888889
46,1.5167,8.9621,159,544158,3270740537,0.00000183770154991749,9069.3,377.8875
47,1.203,5.3153,43,398762,8723194881,0.00000250776152191031,6646.03333333333,276.918055555556
48,5.0278,7.7972,25,343986,6454154891,0.00000290709505619415,5733.1,238.879166666667
49,6.2591,3.4753,65,505075,8329979618,0.00000197990397465723,8417.91666666667,350.746527777778
50,5.5137,1.323,63,73189,4203119052,0.0000136632554072333,1219.81666666667,50.8256944444444
51,5.6128,9.6412,13,399538,7902349821,0.00000250289083891895,6658.96666666667,277.456944444444
52,1.3307,9.9828,53,716537,5093358914,0.00000139560134368497,11942.2833333333,497.595138888889
53,6.2188,7.5741,65,572276,9387875023,0.0000017474085930565,9537.93333333333,397.413888888889
54,1.9264,0.2691,64,220833,4228252677,0.00000452830872197543,3680.55,153.35625
55,5.686,3.9426,73,212225,1553298457,0.00000471198020968312,3537.08333333333,147.378472222222
56,4.4478,9.7351,61,733572,9448507823,0.00000136319270637374,12226.2,509.425
57,9.581,1.7132,65,430045,8157522327,0.00000232533804601844,7167.41666666667,298.642361111111
58,4.5698,4.1206,101,689815,5158095731,0.00000144966404035865,11496.9166666667,479.038194444444
59,0.1927,5.0773,42,672679,2046159033,0.00000148659315959024,11211.3166666667,467.138194444444
60,0.613,2.2644,5,612228,5336109353,0.00000163337841457758,10203.8,425.158333333333
61,5.2614,9.8063,94,70060,7459224003,0.0000142734798743934,1167.66666666667,48.6527777777778
62,6.2019,5.4881,303,574643,8673603270,0.00000174021087875429,9577.38333333333,399.057638888889
63,3.4877,0.4956,75,641533,8775814893,0.00000155876626767446,10692.2166666667,445.509027777778
64,1.8509,5.2754,171,554910,2528204956,0.00000180209403326666,9248.5,385.354166666667
65,0.5082,3.4107,73,546980,8600774186,0.00000182822041025266,9116.33333333333,379.847222222222
66,0.3093,5.7269,64,693299,4799204024,0.00000144237911781208,11554.9833333333,481.457638888889
67,0.2758,6.2541,182,636948,6318874027,0.00000156998687490973,10615.8,442.325
68,2.217,6.8293,56,105723,6345260964,0.00000945867975747945,1762.05,73.41875
69,5.4213,9.3616,5,258162,3271076431,0.00000387353677148457,4302.7,179.279166666667
70,0.4763,8.23,80,147159,8640222556,0.00000679537099327938,2452.65,102.19375
71,6.8635,4.4686,247,258365,2914591934,0.00000387049329437037,4306.08333333333,179.420138888889
72,5.5935,2.5938,56,358263,3275867784,0.0000027912455374962,5971.05,248.79375
73,3.8248,4.1736,45,476529,1387660996,0.00000209850817054156,7942.15,330.922916666667
74,1.8616,2.8019,133,769002,4530587605,0.00000130038673501499,12816.7,534.029166666667
75,4.5027,4.36,86,343571,1806177396,0.00000291060654129714,5726.18333333333,238.590972222222
76,3.1704,8.2077,132,561388,5320890641,0.00000178129920839063,9356.46666666667,389.852777777778
77,9.4626,3.9938,23,544855,2227314169,0.00000183535068963302,9080.91666666667,378.371527777778
78,9.8236,9.88,74,299145,7427358270,0.00000334286048571763,4985.75,207.739583333333
79,4.1472,8.8467,17,173136,6001973189,0.00000577580630255984,2885.6,120.233333333333
80,1.669,5.7207,80,772745,7487310273,0.00000129408795915858,12879.0833333333,536.628472222222
81,6.0513,7.761,75,329163,1868817513,0.00000303800852465192,5486.05,228.585416666667
82,2.9265,2.359,55,415119,9313893105,0.00000240894779569232,6918.65,288.277083333333
83,4.9941,0.096,177,140586,6040906104,0.00000711308380635341,2343.1,97.6291666666667
84,4.2708,5.143,68,651562,1569679800,0.00000153477336001793,10859.3666666667,452.473611111111
85,5.1621,0.252,59,447111,3793358279,0.00000223658107270901,7451.85,310.49375
86,9.4804,1.4371,160,645410,5589349223,0.00000154940270525712,10756.8333333333,448.201388888889
87,4.6449,1.2157,67,104591,3243951535,0.00000956105209817288,1743.18333333333,72.6326388888889
88,5.7111,9.2296,139,676464,7224635224,0.00000147827526668086,11274.4,469.766666666667
89,5.4847,7.41,65,744939,3626168775,0.00000134239179315353,12415.65,517.31875
90,4.8707,6.2239,62,736102,8418409841,0.0000013585073807706,12268.3666666667,511.181944444444
91,3.5149,2.451,3,202338,4639582171,0.00000494222538524647,3372.3,140.5125
92,1.1055,9.4785,54,644180,3293196015,0.00000155236114129591,10736.3333333333,447.347222222222
93,4.8579,2.4629,33,643386,2677147592,0.00000155427690375607,10723.1,446.795833333333
94,2.9072,4.1222,70,683053,5744032337,0.00000146401523747059,11384.2166666667,474.342361111111
95,4.8407,7.0817,54,158759,2953685244,0.00000629885549795602,2645.98333333333,110.249305555556
96,7.9815,2.6339,72,542463,4838747140,0.00000184344370030767,9041.05,376.710416666667
97,4.0904,8.2427,65,496300,9681718031,0.00000201491033649003,8271.66666666667,344.652777777778
98,5.2715,0.7871,63,330346,1603102799,0.00000302712913127448,5505.76666666667,229.406944444444
99,3.2805,6.7441,47,463599,4215602515,0.00000215703657686923,7726.65,321.94375
100,9.7952,7.7306,66,748907,1671447920,0.00000133527928033788,12481.7833333333,520.074305555556
101,3.4777,2.0938,71,115352,3762957785,0.00000866911713711076,1922.53333333333,80.1055555555556
102,4.4817,6.5322,70,546586,9768707769,0.00000182953826113366,9109.76666666667,379.573611111111
103,0.9143,4.9587,64,196260,5952915835,0.00000509528176908183,3271,136.291666666667
104,4.7734,4.967,70,370898,6090451045,0.00000269615905181478,6181.63333333333,257.568055555556
105,9.4115,4.3036,1,19337,2511589282,0.0000517143300408543,322.283333333333,13.4284722222222
106,6.7528,1.1262,2,311172,7580781821,0.00000321365675574923,5186.2,216.091666666667
107,1.0469,6.609,61,612537,4276937908,0.00000163255444160924,10208.95,425.372916666667
108,2.8539,6.7062,67,579073,5853941635,0.00000172689799040881,9651.21666666667,402.134027777778
109,0.4995,1.4831,155,769344,9841775341,0.00000129980866816405,12822.4,534.266666666667
110,4.2822,4.4936,483,358235,8855290574,0.00000279146370399319,5970.58333333333,248.774305555556
111,9.023,1.8307,70,639677,7268969405,0.00000156328897240326,10661.2833333333,444.220138888889
112,2.236,1.3655,66,623174,7663031065,0.00000160468825721227,10386.2333333333,432.759722222222
113,4.1663,7.8649,69,518969,9869878827,0.00000192689736766551,8649.48333333333,360.395138888889
114,7.5533,0.039,71,550282,6707991950,0.00000181725006451238,9171.36666666667,382.140277777778
115,3.9994,7.8037,72,452763,7435893302,0.00000220866104341565,7546.05,314.41875
116,2.2166,6.2559,58,203691,5636053158,0.00000490939707694498,3394.85,141.452083333333
117,9.0473,7.5661,94,720849,3432993154,0.0000013872530862913,12014.15,500.589583333333
118,5.4822,3.2393,65,537815,6085353871,0.00000185937543579112,8963.58333333333,373.482638888889
119,4.105,2.8166,29,578537,9781042850,0.00000172849791802426,9642.28333333333,401.761805555556
120,2.6927,7.2932,74,384035,9014866068,0.000002603929329358,6400.58333333333,266.690972222222
121,7.7284,9.9334,11,335962,4052299617,0.00000297652710723237,5599.36666666667,233.306944444444
122,4.7218,2.4048,60,338360,8663061061,0.00000295543208417071,5639.33333333333,234.972222222222
123,2.7487,3.7421,171,589103,8724107029,0.00000169749602361556,9818.38333333333,409.099305555556
124,7.318,9.638,66,542021,8025930711,0.00000184494696699943,9033.68333333333,376.403472222222
125,3.2659,6.3941,56,517381,3602169844,0.00000193281160305462,8623.01666666667,359.292361111111
126,2.8276,7.8614,54,359822,6106629727,0.00000277915191400192,5997.03333333333,249.876388888889
127,7.8766,5.4841,178,379638,8262912482,0.00000263408826302952,6327.3,263.6375
128,5.6999,9.5616,20,115577,8547356420,0.00000865224049767688,1926.28333333333,80.2618055555556
129,9.3455,8.3334,107,193366,7839047253,0.0000051715399811756,3222.76666666667,134.281944444444
130,2.3609,0.1583,7,65044,3371014665,0.0000153742082282762,1084.06666666667,45.1694444444444
131,7.0177,1.001,18,9553,7078751844,0.000104679158379567,159.216666666667,6.63402777777778
132,0.1902,0.151,47,674085,5348440074,0.0000014834924378973,11234.75,468.114583333333
133,5.2694,1.4397,50,403739,4988582388,0.00000247684766643797,6728.98333333333,280.374305555556
134,5.9258,7.6458,47,16499,2349333720,0.0000606097339232681,274.983333333333,11.4576388888889
135,3.87,6.7935,169,434517,7032758894,0.00000230140592888195,7241.95,301.747916666667
136,5.5049,9.97,10,417428,6031524590,0.00000239562271816936,6957.13333333333,289.880555555556
137,8.3039,6.3576,64,276367,8118446541,0.00000361837701317451,4606.11666666667,191.921527777778
138,7.9259,5.4533,45,651964,3371344354,0.00000153382702112387,10866.0666666667,452.752777777778
139,7.6932,2.3443,19,118161,5250105119,0.00000846302925669214,1969.35,82.05625
140,8.2384,3.0428,58,759135,4865794141,0.00000131728875628182,12652.25,527.177083333333
141,2.8132,8.3074,60,441983,8201060230,0.00000226253045931631,7366.38333333333,306.932638888889
142,0.1318,0.4975,72,88882,9403498500,0.0000112508719425755,1481.36666666667,61.7236111111111
143,4.3845,9.4131,74,633432,9986262808,0.0000015787014233572,10557.2,439.883333333333
144,4.7891,1.2985,48,126743,4490687859,0.00000788998208974066,2112.38333333333,88.0159722222222
145,7.9678,0.0914,20,375270,8216356070,0.00000266474804807206,6254.5,260.604166666667
146,7.9186,5.2557,9,366110,5808614984,0.00000273141951872388,6101.83333333333,254.243055555556
147,5.606,9.637,65,155065,6903694889,0.00000644890852223261,2584.41666666667,107.684027777778
148,5.2184,8.2914,49,522453,2019605404,0.00000191404777080426,8707.55,362.814583333333
149,0.0179,0.2321,67,541943,8050782732,0.00000184521250389801,9032.38333333333,376.349305555556
150,2.5337,5.8509,61,491562,6188328155,0.00000203433137630655,8192.7,341.3625
151,5.7475,4.4212,415,444839,4435641053,0.00000224800433415236,7413.98333333333,308.915972222222
152,2.6188,8.7866,17,135988,1231289461,0.00000735359002264906,2266.46666666667,94.4361111111111
153,6.1622,3.8002,70,58627,3127977267,0.0000170569873948863,977.116666666667,40.7131944444445
154,8.7666,6.3635,13,188109,8263983309,0.0000053160667485341,3135.15,130.63125
155,4.9855,7.6356,7,140847,8010173399,0.00000709990273133258,2347.45,97.8104166666667
156,0.0768,2.6036,16,650303,5184115254,0.00000153774471284924,10838.3833333333,451.599305555556
157,6.114,8.4903,54,416836,1673329155,0.00000239902503622528,6947.26666666667,289.469444444444
158,4.4052,2.7474,65,483868,7124468757,0.00000206667934229997,8064.46666666667,336.019444444444
159,2.4166,2.7762,66,74327,3432339087,0.0000134540611083456,1238.78333333333,51.6159722222222
160,5.6436,3.2864,71,214455,2157320007,0.00000466298291016763,3574.25,148.927083333333
161,6.6964,8.6501,22,688184,8876901213,0.0000014530997523918,11469.7333333333,477.905555555556
